#,key_words
1,iphone 11 case
2,iphone charger
3,iphone 11 pro max case
4,iphone 11 pro case
5,iphone xr screen protector
6,iphone xr cases
7,iphone 11 screen protector
8,iphone 8 case
9,iphone 7 case
10,iphone cable
