#,key_words
1,iphone case xs
2,iphone case 11 pro max
3,iphone case xs max
4,iphone case
5,iphone case xr
6,iphone case 11
7,iphone case 6s
8,iphone case x
9,iphone case 7
10,iphone case 8 plus
